ticker,weight,sector,score,claim_count,structural_weight
DD,0.013791014240598353,Materials,0.63,5,0.0
AGU,0.013547786476213904,Materials,0.6188888888888889,9,0.0
MHFI,0.012941443590899838,Financials,0.74,5,0.0
PPL,0.012682616535900136,Utilities,0.7933333333333333,6,0.0
CPI,0.012592433908454145,Industrials,0.6871428571428572,7,0.0
DIS,0.012453824889972143,Consumer Discretionary,0.7571428571428572,7,0.0
AMS,0.012319448771034936,Information Technology,0.7333333333333334,6,0.0
CCEP,0.012301509340625998,Consumer Staples,0.7,5,0.0
AAPL,0.0122394523504438,Information Technology,0.7285714285714286,7,0.0
BA,0.012217191595173805,Industrials,0.6666666666666666,6,0.0
ENB,0.012096253740639256,Energy,0.6424999999999998,8,0.0
CSL,0.012048099019742778,Health Care,0.695,10,0.0
COL,0.012033933721246198,Industrials,0.6566666666666666,6,0.0
SAP,0.011829470694914227,Information Technology,0.7041666666666666,6,0.0
AVGO,0.011759473826896984,Information Technology,0.7000000000000001,6,0.0
KR,0.011730367835525508,Consumer Staples,0.6675,8,0.0
ORLY,0.011725393622822829,Consumer Discretionary,0.7128571428571429,7,0.0
BAYN,0.011701391134282554,Health Care,0.6749999999999999,6,0.0
SWKS,0.01167547758527629,Information Technology,0.695,6,0.0
STJ,0.011672498810494205,Health Care,0.6733333333333333,6,0.0
PAYX,0.011615480269832938,Information Technology,0.6914285714285714,7,0.0
FAST,0.011606332015415116,Industrials,0.6333333333333333,6,0.0
CVS,0.011598565949733085,Consumer Staples,0.6599999999999999,5,0.0
UTHR,0.011593044920076234,Health Care,0.66875,8,0.0
SLB,0.01159196300659371,Energy,0.6157142857142857,7,0.0
CHD,0.011576598968767681,Consumer Staples,0.65875,8,0.0
CL,0.011576598968767681,Consumer Staples,0.65875,8,0.0
CCI,0.011575159428009232,Financials,0.6618750000000001,8,0.0
XLNX,0.01155788284700732,Information Technology,0.688,5,0.0
SHP,0.011556929515340795,Health Care,0.6666666666666666,6,0.0
AMZN,0.011513913577521413,Consumer Discretionary,0.7,5,0.0
ABBV,0.011499144867764093,Health Care,0.6633333333333334,9,0.0
IFC,0.011492401644428428,Financials,0.6571428571428573,7,0.0
MO,0.011397724980906538,Consumer Staples,0.6485714285714286,7,0.0
FFIV,0.011389890363765937,Information Technology,0.6780000000000002,10,0.0
ROG,0.01133734785454932,Health Care,0.6539999999999999,15,0.0
STZ,0.011334962178148245,Consumer Staples,0.645,6,0.0
ASML,0.011276495437578,Information Technology,0.67125,8,0.0
COLOB,0.011202998548933484,Health Care,0.64625,8,0.0
ALXN,0.011144182032650054,Health Care,0.6428571428571429,7,0.0
DHL,0.011126370917033286,Industrials,0.6071428571428571,7,0.0
RTN,0.011056558393632294,Industrials,0.6033333333333333,6,0.0
META,0.011037106148959027,Information Technology,0.657,10,0.0
NESN,0.011024495513837202,Consumer Staples,0.6273333333333332,15,0.0
CELG,0.010990639969089097,Health Care,0.634,5,0.0
MTD,0.010979083039573755,Health Care,0.6333333333333333,6,0.0
HNR1,0.010915699605387364,Financials,0.6241666666666666,6,0.0
QIA,0.01086929220917802,Health Care,0.627,10,0.0
KBC,0.010867814598535577,Financials,0.6214285714285713,7,0.0
SNA,0.010858029030210721,Industrials,0.5925,8,0.0
INTU,0.010835515169069363,Information Technology,0.645,8,0.0
IT,0.010811516242892024,Information Technology,0.6435714285714287,14,0.0
WFC,0.010799110023487364,Financials,0.6174999999999999,8,0.0
BXB,0.010775562986943297,Industrials,0.588,10,0.0
DAL,0.010757237199550535,Industrials,0.587,10,0.0
ITV,0.010732612299046746,Consumer Discretionary,0.6525,6,0.0
FTI,0.010731306820489304,Energy,0.57,6,0.0
CON,0.01069149117912703,Consumer Discretionary,0.6500000000000001,8,0.0
FL,0.01065859428319125,Consumer Discretionary,0.6479999999999999,5,0.0
LKQ,0.01065859428319125,Consumer Discretionary,0.6479999999999999,5,0.0
MC,0.01065037005920731,Consumer Discretionary,0.6475000000000001,6,0.0
OR,0.010644571347806988,Consumer Staples,0.6057142857142858,7,0.0
ISRG,0.010574590506536828,Health Care,0.61,13,0.0
AMT,0.010556656688399868,Financials,0.6036363636363636,11,0.0
NOVN,0.010552921263695565,Health Care,0.60875,8,0.0
CI,0.010552921263695565,Health Care,0.60875,8,0.0
005930,0.010534528636595215,Information Technology,0.6270833333333334,12,0.0
WAT,0.010516805858960124,Health Care,0.6066666666666667,12,0.0
ITUB4,0.010493062370999867,Financials,0.5999999999999999,7,0.0
EOG,0.01048924726814744,Energy,0.557142857142857,7,0.0
MCK,0.010470578140898763,Health Care,0.6040000000000001,10,0.0
MAR,0.010424203899648854,Consumer Discretionary,0.63375,8,0.0
HRB,0.010417350379662231,Consumer Discretionary,0.6333333333333333,6,0.0
SOL,0.010380442721892764,Energy,0.5513636363636364,11,0.0
V,0.010319538256256535,Information Technology,0.6142857142857142,7,0.0
ANSS,0.010319538256256535,Information Technology,0.6142857142857142,7,0.0
VRSN,0.010314738471021068,Information Technology,0.614,5,0.0
SBUX,0.010307694059876313,Consumer Discretionary,0.6266666666666666,9,0.0
KO,0.010258580110843466,Consumer Staples,0.58375,8,0.0
JPM,0.010208875265118622,Financials,0.58375,8,0.0
CBA,0.010143293625299874,Financials,0.5800000000000001,8,0.0
CBG,0.010143293625299872,Financials,0.58,5,0.0
HSY,0.010055995730829192,Consumer Staples,0.5722222222222223,9,0.0
ML,0.010051829313709171,Consumer Discretionary,0.6111111111111112,9,0.0
PG,0.010031587974200964,Consumer Staples,0.5708333333333333,12,0.0
KMB,0.00997300935829322,Consumer Staples,0.5674999999999999,8,0.0
BATS,0.00987049678045467,Consumer Staples,0.5616666666666666,12,0.0
SPG,0.009793524879599877,Financials,0.5599999999999999,7,0.0
RADL3,0.009735765963866863,Consumer Staples,0.554,10,0.0
SCMN,0.009240658943554672,Telecommunication Services,0.567,10,0.0
