ticker,weight,sector,score,rationale_summary
DIS,0.012454,Consumer Discretionary,0.7571,"Sector rank 1, score 0.76"
ORLY,0.011725,Consumer Discretionary,0.7129,"Sector rank 2, score 0.71"
AMZN,0.011514,Consumer Discretionary,0.7000,"Sector rank 3, score 0.70"
ITV,0.010733,Consumer Discretionary,0.6525,"Sector rank 4, score 0.65"
CON,0.010691,Consumer Discretionary,0.6500,"Sector rank 5, score 0.65"
FL,0.010659,Consumer Discretionary,0.6480,"Sector rank 6, score 0.65"
LKQ,0.010659,Consumer Discretionary,0.6480,"Sector rank 6, score 0.65"
MC,0.010650,Consumer Discretionary,0.6475,"Sector rank 8, score 0.65"
MAR,0.010424,Consumer Discretionary,0.6338,"Sector rank 9, score 0.63"
HRB,0.010417,Consumer Discretionary,0.6333,"Sector rank 10, score 0.63"
SBUX,0.010308,Consumer Discretionary,0.6267,"Sector rank 11, score 0.63"
ML,0.010052,Consumer Discretionary,0.6111,"Sector rank 12, score 0.61"
CCEP,0.012302,Consumer Staples,0.7000,"Sector rank 1, score 0.70"
KR,0.011730,Consumer Staples,0.6675,"Sector rank 2, score 0.67"
CVS,0.011599,Consumer Staples,0.6600,"Sector rank 3, score 0.66"
CHD,0.011577,Consumer Staples,0.6587,"Sector rank 4, score 0.66"
CL,0.011577,Consumer Staples,0.6587,"Sector rank 4, score 0.66"
MO,0.011398,Consumer Staples,0.6486,"Sector rank 6, score 0.65"
STZ,0.011335,Consumer Staples,0.6450,"Sector rank 7, score 0.65"
NESN,0.011024,Consumer Staples,0.6273,"Sector rank 8, score 0.63"
OR,0.010645,Consumer Staples,0.6057,"Sector rank 9, score 0.61"
KO,0.010259,Consumer Staples,0.5837,"Sector rank 10, score 0.58"
HSY,0.010056,Consumer Staples,0.5722,"Sector rank 11, score 0.57"
PG,0.010032,Consumer Staples,0.5708,"Sector rank 12, score 0.57"
KMB,0.009973,Consumer Staples,0.5675,"Sector rank 13, score 0.57"
BATS,0.009870,Consumer Staples,0.5617,"Sector rank 14, score 0.56"
RADL3,0.009736,Consumer Staples,0.5540,"Sector rank 15, score 0.55"
ENB,0.012096,Energy,0.6425,"Sector rank 1, score 0.64"
SLB,0.011592,Energy,0.6157,"Sector rank 2, score 0.62"
FTI,0.010731,Energy,0.5700,"Sector rank 3, score 0.57"
EOG,0.010489,Energy,0.5571,"Sector rank 4, score 0.56"
SOL,0.010380,Energy,0.5514,"Sector rank 5, score 0.55"
MHFI,0.012941,Financials,0.7400,"Sector rank 1, score 0.74"
CCI,0.011575,Financials,0.6619,"Sector rank 2, score 0.66"
IFC,0.011492,Financials,0.6571,"Sector rank 3, score 0.66"
HNR1,0.010916,Financials,0.6242,"Sector rank 4, score 0.62"
KBC,0.010868,Financials,0.6214,"Sector rank 5, score 0.62"
WFC,0.010799,Financials,0.6175,"Sector rank 6, score 0.62"
AMT,0.010557,Financials,0.6036,"Sector rank 7, score 0.60"
ITUB4,0.010493,Financials,0.6000,"Sector rank 8, score 0.60"
JPM,0.010209,Financials,0.5837,"Sector rank 9, score 0.58"
CBA,0.010143,Financials,0.5800,"Sector rank 10, score 0.58"
CBG,0.010143,Financials,0.5800,"Sector rank 11, score 0.58"
SPG,0.009794,Financials,0.5600,"Sector rank 12, score 0.56"
CSL,0.012048,Health Care,0.6950,"Sector rank 1, score 0.69"
