ticker,weight,sector,score,rationale_summary
DIS,0.018214,Consumer Discretionary,0.7571,"Sector rank 1, score 0.76"
ORLY,0.017148,Consumer Discretionary,0.7129,"Sector rank 2, score 0.71"
AMZN,0.016839,Consumer Discretionary,0.7000,"Sector rank 3, score 0.70"
ITV,0.015696,Consumer Discretionary,0.6525,"Sector rank 4, score 0.65"
CON,0.015636,Consumer Discretionary,0.6500,"Sector rank 5, score 0.65"
FL,0.015588,Consumer Discretionary,0.6480,"Sector rank 6, score 0.65"
LKQ,0.015588,Consumer Discretionary,0.6480,"Sector rank 6, score 0.65"
MC,0.015576,Consumer Discretionary,0.6475,"Sector rank 8, score 0.65"
CCEP,0.017687,Consumer Staples,0.7000,"Sector rank 1, score 0.70"
KR,0.016866,Consumer Staples,0.6675,"Sector rank 2, score 0.67"
CVS,0.016677,Consumer Staples,0.6600,"Sector rank 3, score 0.66"
CHD,0.016645,Consumer Staples,0.6587,"Sector rank 4, score 0.66"
CL,0.016645,Consumer Staples,0.6587,"Sector rank 4, score 0.66"
MO,0.016388,Consumer Staples,0.6486,"Sector rank 6, score 0.65"
STZ,0.016298,Consumer Staples,0.6450,"Sector rank 7, score 0.65"
NESN,0.015851,Consumer Staples,0.6273,"Sector rank 8, score 0.63"
OR,0.015305,Consumer Staples,0.6057,"Sector rank 9, score 0.61"
KO,0.014750,Consumer Staples,0.5837,"Sector rank 10, score 0.58"
ENB,0.019431,Energy,0.6425,"Sector rank 1, score 0.64"
SLB,0.018621,Energy,0.6157,"Sector rank 2, score 0.62"
FTI,0.017238,Energy,0.5700,"Sector rank 3, score 0.57"
MHFI,0.018758,Financials,0.7400,"Sector rank 1, score 0.74"
CCI,0.016778,Financials,0.6619,"Sector rank 2, score 0.66"
IFC,0.016658,Financials,0.6571,"Sector rank 3, score 0.66"
HNR1,0.015822,Financials,0.6242,"Sector rank 4, score 0.62"
KBC,0.015752,Financials,0.6214,"Sector rank 5, score 0.62"
WFC,0.015653,Financials,0.6175,"Sector rank 6, score 0.62"
AMT,0.015301,Financials,0.6036,"Sector rank 7, score 0.60"
ITUB4,0.015209,Financials,0.6000,"Sector rank 8, score 0.60"
CSL,0.018137,Health Care,0.6950,"Sector rank 1, score 0.69"
BAYN,0.017615,Health Care,0.6750,"Sector rank 2, score 0.67"
STJ,0.017571,Health Care,0.6733,"Sector rank 3, score 0.67"
UTHR,0.017452,Health Care,0.6687,"Sector rank 4, score 0.67"
SHP,0.017397,Health Care,0.6667,"Sector rank 5, score 0.67"
ABBV,0.017310,Health Care,0.6633,"Sector rank 6, score 0.66"
ROG,0.017067,Health Care,0.6540,"Sector rank 7, score 0.65"
COLOB,0.016865,Health Care,0.6462,"Sector rank 8, score 0.65"
ALXN,0.016776,Health Care,0.6429,"Sector rank 9, score 0.64"
CELG,0.016545,Health Care,0.6340,"Sector rank 10, score 0.63"
MTD,0.016528,Health Care,0.6333,"Sector rank 11, score 0.63"
CPI,0.018367,Industrials,0.6871,"Sector rank 1, score 0.69"
BA,0.017820,Industrials,0.6667,"Sector rank 2, score 0.67"
COL,0.017552,Industrials,0.6567,"Sector rank 3, score 0.66"
FAST,0.016929,Industrials,0.6333,"Sector rank 4, score 0.63"
DHL,0.016229,Industrials,0.6071,"Sector rank 5, score 0.61"
RTN,0.016127,Industrials,0.6033,"Sector rank 6, score 0.60"
AMS,0.017371,Information Technology,0.7333,"Sector rank 1, score 0.73"
AAPL,0.017259,Information Technology,0.7286,"Sector rank 2, score 0.73"
SAP,0.016681,Information Technology,0.7042,"Sector rank 3, score 0.70"
AVGO,0.016582,Information Technology,0.7000,"Sector rank 4, score 0.70"
SWKS,0.016463,Information Technology,0.6950,"Sector rank 5, score 0.69"
PAYX,0.016379,Information Technology,0.6914,"Sector rank 6, score 0.69"
XLNX,0.016298,Information Technology,0.6880,"Sector rank 7, score 0.69"
FFIV,0.016061,Information Technology,0.6780,"Sector rank 8, score 0.68"
ASML,0.015901,Information Technology,0.6713,"Sector rank 9, score 0.67"
META,0.015563,Information Technology,0.6570,"Sector rank 10, score 0.66"
INTU,0.015279,Information Technology,0.6450,"Sector rank 11, score 0.65"
DD,0.013791,Materials,0.6300,"Sector rank 1, score 0.63"
AGU,0.013548,Materials,0.6189,"Sector rank 2, score 0.62"
SCMN,0.009241,Telecommunication Services,0.5670,"Sector rank 1, score 0.57"
PPL,0.012683,Utilities,0.7933,"Sector rank 1, score 0.79"
