rank,ticker,company_name,sector,country,aggregate_score,distance_from_cutoff,num_claims,max_confidence,min_confidence,ca_claims,cagr_claims,factual_claims,structural_weight,avg_kb2_adjustment,gatekeeper_triggered,in_sector_neutral_p30,in_topn_p60,in_topn_p90
268,RR,,,,0.416667,-0.240333,6,0.6,0.2,4,2,0,0.0,0,0,N,N,N
266,ATD,,,,0.42,-0.237,5,0.75,0.3,5,0,0,0.0,-0.04,1,N,N,N
179,BT_A,,,,0.518333,-0.138667,6,0.7,0.3,4,2,0,0.0,0.0,0,N,N,N
158,RB,,,,0.538571,-0.118429,7,0.7,0.3,4,3,0,0.0,0,0,N,N,N
88,BFB,,,,0.588,-0.069,5,0.7,0.4,4,1,0,0.0,0.0,0,N,N,Y
308,DOL,Dollarama Inc.,Consumer Discretionary,CANADA,0.2875,-0.3695,12,0.3,0.3,7,5,0,0.0,0,0,N,N,N
300,VIAB,Viacom Inc. Class B,Consumer Discretionary,UNITED STATES,0.338889,-0.318111,9,0.6,0.2,5,4,0,0.0,0,0,N,N,N
292,UAA,"Under Armour, Inc. Class A",Consumer Discretionary,UNITED STATES,0.36,-0.297,9,0.5,0.2,5,4,0,0.0,0,0,N,N,N
286,LOW,"Lowe's Companies, Inc.",Consumer Discretionary,UNITED STATES,0.38,-0.277,5,0.5,0.3,5,0,0,0.0,0.0,0,N,N,N
287,M,Macy's Inc,Consumer Discretionary,UNITED STATES,0.38,-0.277,5,0.5,0.3,5,0,0,0.0,0,0,N,N,N
313,KHC,Kraft Heinz Company,Consumer Staples,UNITED STATES,0.15875,-0.49825,4,0.25,0.1,3,1,0,0.0,0.0,0,N,N,N
311,CPB,Campbell Soup Company,Consumer Staples,UNITED STATES,0.22,-0.437,4,0.3,0.2,3,1,0,0.0,0,0,N,N,N
298,MRU,Metro Inc.,Consumer Staples,CANADA,0.34,-0.317,5,0.5,0.3,5,0,0,0.0,0.0,0,N,N,N
291,HRL,Hormel Foods Corporation,Consumer Staples,UNITED STATES,0.36,-0.297,9,0.5,0.3,5,4,0,0.0,0,0,N,N,N
289,FEMSAUBD,Fomento Economico Mexicano SAB de CV Units Cons. Of 1 ShsB And 4 ShsD,Consumer Staples,MEXICO,0.375,-0.282,8,0.5,0.3,8,0,0,0.0,0.0,0,N,N,N
303,HFC,HollyFrontier Corporation,Energy,UNITED STATES,0.305,-0.352,6,0.4,0.2,4,2,0,0.0,0,0,N,N,N
276,CVX,Chevron Corporation,Energy,UNITED STATES,0.407143,-0.249857,7,0.5,0.3,6,1,0,0.0,0.0,0,N,N,N
271,WPL,Woodside Petroleum Ltd,Energy,AUSTRALIA,0.414286,-0.242714,7,0.7,0.3,6,0,1,0.0,0,0,N,N,N
263,NOV,"National Oilwell Varco, Inc.",Energy,UNITED STATES,0.426364,-0.230636,11,0.7,0.3,8,3,0,0.0,-0.1125,2,N,N,N
237,HAL,Halliburton Company,Energy,UNITED STATES,0.46,-0.197,9,0.9,0.3,5,2,2,0.0,0,0,N,N,N
309,SLM,Sanlam Limited,Financials,SOUTH AFRICA,0.2875,-0.3695,8,0.5,0.2,5,3,0,0.0,0,0,N,N,N
302,PGR,Progressive Corporation,Financials,UNITED STATES,0.307,-0.35,10,0.4,0.2,8,1,1,0.0,0,0,N,N,N
301,0688,China Overseas Land & Investment Limited,Financials,CHINA,0.3225,-0.3345,8,0.5,0.2,4,4,0,0.0,-0.0636,0,N,N,N
297,ADN,Aberdeen Asset Management PLC,Financials,UNITED KINGDOM,0.34,-0.317,11,0.5,0.2,7,2,2,0.0,0.0,0,N,N,N
299,MTB,M&T Bank Corporation,Financials,UNITED STATES,0.34,-0.317,5,0.5,0.3,5,0,0,0.0,0,0,N,N,N
312,AGN,Allergan plc,Health Care,UNITED STATES,0.192,-0.465,5,0.3,0.1,3,2,0,0.0,0.0,0,N,N,N
310,CLVSQ,"Clovis Oncology, Inc.",Health Care,UNITED STATES,0.251667,-0.405333,6,0.4,0.2,4,2,0,0.0,0,0,N,N,N
277,HCA,"HCA Holdings, Inc.",Health Care,UNITED STATES,0.4025,-0.2545,8,0.5,0.3,4,4,0,0.0,0,0,N,N,N
260,BMY,Bristol-Myers Squibb Company,Health Care,UNITED STATES,0.43,-0.227,11,0.6,0.2,8,3,0,0.0,0.0,0,N,N,N
259,PFE,Pfizer Inc.,Health Care,UNITED STATES,0.431429,-0.225571,7,0.7,0.3,5,2,0,0.0,0,0,N,N,N
307,WTW,Towers Watson & Co. Class A,Industrials,UNITED STATES,0.287778,-0.369222,9,0.4,0.2,6,3,0,0.0,0,0,N,N,N
296,EMR,Emerson Electric Co.,Industrials,UNITED STATES,0.35,-0.307,8,0.5,0.3,8,0,0,0.0,0,0,N,N,N
293,DOV,Dover Corporation,Industrials,UNITED STATES,0.357143,-0.299857,7,0.5,0.3,7,0,0,0.0,0.0,0,N,N,N
274,DSV,DSV A/S,Industrials,DENMARK,0.411429,-0.245571,7,0.7,0.2,4,3,0,0.0,0,0,N,N,N
273,SGSN,SGS SA,Industrials,SWITZERLAND,0.411667,-0.245333,6,0.5,0.3,3,3,0,0.0,0,0,N,N,N
306,YHOO,Yahoo! Inc.,Information Technology,UNITED STATES,0.298,-0.359,5,0.9,0.1,3,1,1,0.0,0,2,N,N,N
305,STX,Seagate Technology PLC,Information Technology,UNITED STATES,0.3,-0.357,11,0.5,0.1,11,0,0,0.0,0,0,N,N,N
304,CIEL3,Cielo S.A.,Information Technology,BRAZIL,0.304167,-0.352833,6,0.4,0.2,4,2,0,0.0,0,0,N,N,N
284,FLT,"FleetCor Technologies, Inc.",Information Technology,UNITED STATES,0.3825,-0.2745,12,0.5,0.3,7,5,0,0.0,0,0,N,N,N
280,GOOG,Alphabet Inc. Class C,Information Technology,UNITED STATES,0.393077,-0.263923,13,0.7,0.1,8,5,0,0.0,0.0,0,N,N,N
295,CCK,"Crown Holdings, Inc.",Materials,UNITED STATES,0.35375,-0.30325,8,0.5,0.3,4,4,0,0.0,0,0,N,N,N
290,LIN,"Praxair, Inc.",Materials,UNITED STATES,0.368333,-0.288667,12,0.7,0.1,5,4,3,0.0,0,0,N,N,N
250,JMT,Johnson Matthey Plc,Materials,UNITED KINGDOM,0.443333,-0.213667,6,0.65,0.25,4,2,0,0.0,0,0,N,N,N
240,PPG,"PPG Industries, Inc.",Materials,UNITED STATES,0.46,-0.197,7,0.5,0.3,5,2,0,0.0,0,0,N,N,N
208,CRDA,Croda International Plc,Materials,UNITED KINGDOM,0.484167,-0.172833,12,0.7,0.3,6,2,4,0.0,0.0,0,N,N,N
283,TEL,Telenor ASA,Telecommunication Services,NORWAY,0.382857,-0.274143,7,0.5,0.3,4,3,0,0.0,0,0,N,N,N
227,TLS,Telstra Corporation Limited,Telecommunication Services,AUSTRALIA,0.469,-0.188,10,0.7,0.3,5,5,0,0.0,-0.0769,2,N,N,N
125,SCMN,Swisscom AG,Telecommunication Services,SWITZERLAND,0.567,-0.09,10,0.9,0.3,7,1,2,0.0,0.0,0,Y,N,N
247,DUK,Duke Energy Corporation,Utilities,UNITED STATES,0.447,-0.21,10,0.7,0.2,5,1,4,0.0,-0.1,0,N,N,N
198,SRG,Snam S.p.A.,Utilities,ITALY,0.49375,-0.16325,8,0.7,0.3,6,1,1,0.0,0.0,0,N,N,N
